FeedbackID,Date,OverallRating,ProductQuality,ShoppingExperience,WillReturn,Comment
F001,2025-04-05,5,5,5,Yes,Great variety and friendly staff.
F002,2025-04-18,4,4,4,Yes,Checkout line a bit slow.
F003,2025-05-02,3,3,4,Maybe,Liked styles but sizes limited.
F004,2025-05-15,5,5,5,Yes,Loved the Mother's Day promo!
F005,2025-05-29,2,2,3,No,Stitching came undone after first wash.
F006,2025-06-03,4,5,4,Yes,Quality jeans at fair price.
F007,2025-06-10,5,5,5,Yes,Associate helped me find perfect gift.
F008,2025-06-18,3,4,3,Maybe,Music too loud but clothes nice.
F009,2025-06-24,4,4,5,Yes,Clean store and quick returns process.
F010,2025-06-29,5,5,5,Yes,Summer sale saved me a bundle!
